Gene,EEG_count,EEG_present,Cardiology_count,Cardiology_present,Endocrinology_count,Endocrinology_present,Immunology_count,Immunology_present,Oncology_count,Oncology_present,Domains_present,NonEEG_domains_present
MET,1342,1,24589,1,12910,1,9026,1,40514,1,5,4
BDNF,239,1,1749,1,938,1,1445,1,838,1,5,4
SCN1A,212,1,26,1,10,1,9,1,12,1,5,4
IL6,190,1,16890,1,10322,1,44910,1,17627,1,5,4
APP,188,1,1763,1,1917,1,1249,1,2140,1,5,4
TNF,183,1,18731,1,12436,1,52150,1,21428,1,5,4
F2,166,1,1503,1,1028,1,773,1,1360,1,5,4
MTOR,120,1,2869,1,2603,1,2229,1,21243,1,5,4
INS,119,1,1584,1,3176,1,1685,1,5915,1,5,4
MECP2,115,1,83,1,66,1,96,1,189,1,5,4
APOE,103,1,9183,1,3714,1,1745,1,615,1,5,4
LEP,102,1,124,1,401,1,116,1,318,1,5,4
SCN2A,87,1,6,1,6,1,3,1,48,1,5,4
COMT,75,1,217,1,78,1,29,1,438,1,5,4
TSC1,60,1,92,1,60,1,41,1,1647,1,5,4
ACE,59,1,16808,1,4295,1,1431,1,1410,1,5,4
TSC2,59,1,117,1,86,1,30,1,2068,1,5,4
GBA,56,1,59,1,453,1,64,1,122,1,5,4
SCN8A,55,1,11,1,7,1,3,1,14,1,5,4
ATM,54,1,1813,1,1492,1,444,1,5690,1,5,4
F5,45,1,240,1,58,1,56,1,258,1,5,4
IL10,41,1,4884,1,2942,1,17618,1,7239,1,5,4
GRIN2A,38,1,5,1,2,1,10,1,45,1,5,4
KIT,37,1,3869,1,2549,1,3234,1,22440,1,5,4
SLC2A1,36,1,32,1,168,1,30,1,263,1,5,4
PTEN,31,1,922,1,711,1,500,1,13545,1,5,4
ATR,29,1,346,1,308,1,118,1,2087,1,5,4
IGF1,26,1,1634,1,2419,1,950,1,4108,1,5,4
DRD4,26,1,7,1,8,1,6,1,28,1,5,4
MAOA,26,1,109,1,68,1,42,1,209,1,5,4
PSEN1,26,1,46,1,77,1,30,1,60,1,5,4
GABRA1,24,1,7,1,5,1,1,1,13,1,5,4
SLC6A1,23,1,3,1,3,1,1,1,18,1,5,4
DRD2,21,1,31,1,47,1,33,1,159,1,5,4
APC,20,1,1839,1,723,1,1469,1,11192,1,5,4
BRAF,17,1,379,1,299,1,192,1,18174,1,5,4
TLR4,14,1,3015,1,1565,1,7657,1,2116,1,5,4
PROC,14,1,254,1,178,1,96,1,899,1,5,4
LPA,12,1,4115,1,2150,1,591,1,1271,1,5,4
AMPK,12,1,2719,1,4411,1,1753,1,4217,1,5,4
STAT3,11,1,2568,1,1110,1,4031,1,14274,1,5,4
SCN5A,11,1,1568,1,23,1,9,1,27,1,5,4
MAPT,11,1,51,1,549,1,43,1,113,1,5,4
ERBB4,11,1,115,1,63,1,40,1,747,1,5,4
KCNH2,10,1,647,1,15,1,3,1,28,1,5,4
MTHFR,10,1,1999,1,1098,1,234,1,1463,1,5,4
MAOB,10,1,87,1,60,1,48,1,141,1,5,4
AKT1,8,1,548,1,491,1,305,1,2891,1,5,4
CACNA1C,8,1,240,1,33,1,6,1,38,1,5,4
EGFR,7,1,8241,1,6480,1,2786,1,43585,1,5,4
KCNQ1,7,1,926,1,267,1,12,1,87,1,5,4
GRIN1,7,1,11,1,4,1,4,1,14,1,5,4
GAD1,7,1,9,1,22,1,14,1,31,1,5,4
LRRK2,7,1,17,1,62,1,97,1,113,1,5,4
CLU,7,1,71,1,59,1,66,1,274,1,5,4
RYR2,6,1,1169,1,83,1,25,1,63,1,5,4
PSEN2,6,1,25,1,41,1,8,1,16,1,5,4
SLC6A4,5,1,29,1,15,1,8,1,36,1,5,4
TPH2,5,1,14,1,20,1,17,1,15,1,5,4
TREM2,5,1,164,1,206,1,388,1,180,1,5,4
CR1,5,1,132,1,49,1,348,1,1337,1,5,4
SIRT1,5,1,1757,1,1867,1,1457,1,1711,1,5,4
FGFR3,5,1,219,1,59,1,25,1,1601,1,5,4
PIK3CA,4,1,268,1,132,1,63,1,6222,1,5,4
MYD88,4,1,1091,1,397,1,2413,1,1540,1,5,4
PINK1,4,1,396,1,337,1,214,1,395,1,5,4
HBA1,4,1,357,1,1598,1,786,1,31,1,5,4
LPL,4,1,996,1,1812,1,225,1,661,1,5,4
SIRT3,4,1,571,1,352,1,224,1,403,1,5,4
SOX2,4,1,207,1,173,1,108,1,3714,1,5,4
NOTCH1,4,1,696,1,241,1,270,1,3904,1,5,4
TP53,3,1,605,1,855,1,241,1,19248,1,5,4
KRAS,3,1,438,1,214,1,219,1,21520,1,5,4
JAK2,3,1,1351,1,394,1,1044,1,4701,1,5,4
NOS3,3,1,604,1,201,1,110,1,170,1,5,4
HLA-DRB1,3,1,275,1,466,1,2713,1,565,1,5,4
TLR2,3,1,816,1,452,1,2483,1,832,1,5,4
SNCA,3,1,20,1,103,1,54,1,73,1,5,4
DJ1,3,1,93,1,77,1,55,1,260,1,5,4
NPC1,3,1,35,1,929,1,28,1,62,1,5,4
MYC,3,1,1344,1,524,1,554,1,27016,1,5,4
SMAD2,3,1,849,1,416,1,399,1,1989,1,5,4
FGFR1,3,1,148,1,180,1,70,1,2022,1,5,4
RET,3,1,237,1,259,1,141,1,5606,1,5,4
NRAS,2,1,187,1,61,1,63,1,5588,1,5,4
AGT,2,1,852,1,511,1,116,1,401,1,5,4
IGF1R,2,1,292,1,370,1,209,1,2822,1,5,4
GLUT4,2,1,413,1,3282,1,278,1,300,1,5,4
HTR1A,2,1,5,1,6,1,14,1,12,1,5,4
HTR2A,2,1,25,1,19,1,26,1,39,1,5,4
PARK2,2,1,26,1,33,1,25,1,108,1,5,4
SORL1,2,1,12,1,23,1,6,1,22,1,5,4
TGFB1,2,1,223,1,165,1,263,1,652,1,5,4
NTRK2,2,1,12,1,9,1,9,1,258,1,5,4
NOTCH3,2,1,840,1,64,1,65,1,637,1,5,4
BRCA1,1,1,162,1,482,1,51,1,14903,1,5,4
VEGFA,1,1,1353,1,829,1,679,1,4182,1,5,4
MAPK1,1,1,159,1,93,1,123,1,544,1,5,4
GJA1,1,1,90,1,19,1,20,1,69,1,5,4
LEPR,1,1,169,1,638,1,99,1,195,1,5,4
ADIPOQ,1,1,140,1,449,1,80,1,195,1,5,4
HLA-A,1,1,284,1,463,1,829,1,2508,1,5,4
HLA-B,1,1,368,1,245,1,492,1,704,1,5,4
HLA-C,1,1,70,1,57,1,152,1,364,1,5,4
CD28,1,1,492,1,309,1,1729,1,2218,1,5,4
CD40,1,1,1273,1,473,1,2060,1,2723,1,5,4
NFKB1,1,1,122,1,88,1,252,1,371,1,5,4
DRD3,1,1,6,1,11,1,11,1,21,1,5,4
BIN1,1,1,33,1,15,1,12,1,87,1,5,4
NPC2,1,1,16,1,358,1,12,1,47,1,5,4
ATP7B,1,1,17,1,873,1,20,1,187,1,5,4
HBB,1,1,61,1,80,1,22,1,119,1,5,4
VWF,1,1,3207,1,582,1,861,1,728,1,5,4
APOB,1,1,3042,1,3507,1,414,1,438,1,5,4
PCSK9,1,1,2276,1,2493,1,226,1,183,1,5,4
LDLR,1,1,2494,1,2476,1,414,1,340,1,5,4
ANGPTL4,1,1,183,1,212,1,85,1,252,1,5,4
RB1,1,1,321,1,122,1,74,1,3897,1,5,4
CCND1,1,1,214,1,75,1,50,1,3054,1,5,4
SMAD3,1,1,775,1,403,1,459,1,1620,1,5,4
TGFB3,1,1,51,1,7,1,17,1,57,1,5,4
FOXO3,1,1,181,1,108,1,124,1,486,1,5,4
ERBB2,1,1,195,1,86,1,85,1,7365,1,5,4
FGFR2,1,1,65,1,68,1,35,1,1641,1,5,4
ALK,1,1,266,1,125,1,171,1,8665,1,5,4
ROS1,1,1,50,1,12,1,16,1,1871,1,5,4
CTNNB1,1,1,84,1,101,1,45,1,2530,1,5,4
BRCA2,0,0,72,1,406,1,22,1,9020,1,4,4
MAPK3,0,0,73,1,59,1,59,1,246,1,4,4
STAT1,0,0,551,1,334,1,1557,1,2525,1,4,4
INSR,0,0,58,1,556,1,60,1,287,1,4,4
PPARG,0,0,218,1,612,1,202,1,447,1,4,4
SLC2A4,0,0,12,1,121,1,24,1,28,1,4,4
FTO,0,0,238,1,507,1,99,1,622,1,4,4
CTLA4,0,0,313,1,568,1,1986,1,5776,1,4,4
PDCD1,0,0,29,1,26,1,121,1,492,1,4,4
CD40LG,0,0,13,1,9,1,46,1,62,1,4,4
NFKBIA,0,0,46,1,26,1,105,1,189,1,4,4
ABCA7,0,0,10,1,15,1,10,1,13,1,4,4
CD33,0,0,114,1,51,1,118,1,2304,1,4,4
CFTR,0,0,91,1,310,1,323,1,367,1,4,4
HBA2,0,0,13,1,70,1,8,1,23,1,4,4
PROS1,0,0,95,1,4,1,27,1,50,1,4,4
SERPINC1,0,0,105,1,5,1,12,1,23,1,4,4
ITGA2B,0,0,26,1,3,1,11,1,25,1,4,4
ITGB3,0,0,98,1,29,1,29,1,178,1,4,4
GP1BA,0,0,36,1,5,1,7,1,8,1,4,4
GP9,0,0,8,1,6,1,5,1,3,1,4,4
APOA1,0,0,964,1,777,1,214,1,243,1,4,4
APOC3,0,0,249,1,321,1,41,1,51,1,4,4
ANGPTL3,0,0,191,1,336,1,19,1,38,1,4,4
ANGPTL8,0,0,54,1,126,1,17,1,9,1,4,4
KDR,0,0,484,1,152,1,91,1,1086,1,4,4
FLT1,0,0,248,1,78,1,88,1,683,1,4,4
TEK,0,0,93,1,27,1,31,1,150,1,4,4
CDKN2A,0,0,176,1,252,1,50,1,5296,1,4,4
CDK4,0,0,228,1,108,1,76,1,7148,1,4,4
CDK6,0,0,80,1,33,1,47,1,2034,1,4,4
SMAD4,0,0,270,1,108,1,89,1,2683,1,4,4
TGFB2,0,0,104,1,18,1,31,1,145,1,4,4
FOXO1,0,0,440,1,1105,1,399,1,1440,1,4,4
FOXO4,0,0,37,1,26,1,15,1,135,1,4,4
PRKAA1,0,0,19,1,35,1,13,1,73,1,4,4
PRKAA2,0,0,22,1,28,1,6,1,39,1,4,4
HIF1A,0,0,280,1,108,1,194,1,984,1,4,4
EPAS1,0,0,45,1,10,1,12,1,217,1,4,4
VHL,0,0,1531,1,79,1,61,1,3684,1,4,4
MDM2,0,0,231,1,128,1,76,1,6132,1,4,4
MDM4,0,0,22,1,8,1,8,1,354,1,4,4
CHEK1,0,0,11,1,5,1,5,1,313,1,4,4
CHEK2,0,0,13,1,64,1,2,1,1345,1,4,4
RAD51,0,0,40,1,163,1,15,1,1898,1,4,4
RAD52,0,0,3,1,11,1,1,1,174,1,4,4
MLH1,0,0,19,1,1457,1,22,1,3999,1,4,4
MSH2,0,0,24,1,1348,1,23,1,3285,1,4,4
MSH6,0,0,6,1,904,1,8,1,2356,1,4,4
PMS2,0,0,7,1,692,1,12,1,1869,1,4,4
ERBB3,0,0,49,1,72,1,61,1,1301,1,4,4
PDGFRA,0,0,92,1,31,1,37,1,2047,1,4,4
PDGFRB,0,0,78,1,99,1,19,1,567,1,4,4
FGFR4,0,0,49,1,44,1,16,1,608,1,4,4
NTRK1,0,0,6,1,14,1,12,1,656,1,4,4
NTRK3,0,0,12,1,1,1,8,1,706,1,4,4
OCT4,0,0,130,1,123,1,55,1,2603,1,4,4
NANOG,0,0,73,1,76,1,36,1,2185,1,4,4
KLF4,0,0,354,1,150,1,158,1,1221,1,4,4
BMI1,0,0,47,1,31,1,21,1,1438,1,4,4
NOTCH2,0,0,152,1,89,1,54,1,703,1,4,4
DLL4,0,0,105,1,30,1,45,1,327,1,4,4
JAG1,0,0,294,1,37,1,36,1,327,1,4,4
WNT1,0,0,123,1,112,1,71,1,684,1,4,4
WNT3A,0,0,156,1,141,1,71,1,633,1,4,4
WNT5A,0,0,131,1,104,1,140,1,873,1,4,4
AXIN1,0,0,25,1,17,1,31,1,277,1,4,4
AXIN2,0,0,40,1,28,1,28,1,531,1,4,4
GSK3B,0,0,51,1,66,1,40,1,171,1,4,4
GABRB2,10,1,1,1,1,1,0,0,16,1,4,3
HTR2C,0,0,11,1,20,1,0,0,12,1,3,3
RAD54,0,0,1,1,7,1,0,0,52,1,3,3
JAG2,0,0,9,1,0,0,5,1,77,1,3,3
PDCD1LG1,0,0,1,1,0,0,0,0,2,1,2,2
