Gene,APOE,TP53,HLA-DRB1,BDNF,SCN1A,PTEN,VEGFA,SCN5A,SLC2A1,PIK3CA,GBA,ACE,CACNA1C,GAD1,KCNQ1,MTHFR,GRIN1,AKT1,MECP2,TSC1,TSC2,SLC6A1
APOE,0.9999999999999998,0.0,0.24253562503633294,0.8994240298291866,0.9298956298171001,0.0,0.24253562503633294,0.9701425001453318,0.06894502533266922,0.0,0.0,0.8531511614816524,0.9701425001453318,0.0,0.9701425001453318,0.7761140001162654,0.0,0.0,0.0,0.0,0.021553401054884413,0.0
TP53,0.0,1.0,0.0,0.09759000729485331,0.3651483716701107,1.0,0.0,0.0,0.07106690545187015,1.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99975317783161,0.0
HLA-DRB1,0.24253562503633294,0.0,1.0,0.5855400437691199,0.18257418583505536,0.0,1.0,0.0,0.0,0.0,0.0,0.3015113445777637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDNF,0.8994240298291866,0.09759000729485331,0.5855400437691199,0.9999999999999999,0.8552359741197579,0.09759000729485331,0.5855400437691199,0.7807200583588265,0.25661053339441436,0.09759000729485331,0.19518001458970663,0.9121593238215746,0.7807200583588265,0.0,0.7807200583588265,0.7416840554408852,0.0,0.19518001458970663,0.19518001458970663,0.09759000729485331,0.1149109723474422,0.0
SCN1A,0.9298956298171001,0.3651483716701107,0.18257418583505536,0.8552359741197579,1.0,0.3651483716701107,0.18257418583505536,0.9128709291752769,0.09082487681884435,0.3651483716701107,0.0,0.8257228238447706,0.9128709291752769,0.0,0.9128709291752769,0.7302967433402215,0.0,0.0,0.0,0.3651483716701107,0.38533925856596607,0.0
PTEN,0.0,1.0,0.0,0.09759000729485331,0.3651483716701107,1.0,0.0,0.0,0.07106690545187015,1.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99975317783161,0.0
VEGFA,0.24253562503633294,0.0,1.0,0.5855400437691199,0.18257418583505536,0.0,1.0,0.0,0.0,0.0,0.0,0.3015113445777637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCN5A,0.9701425001453318,0.0,0.0,0.7807200583588265,0.9128709291752769,0.0,0.0,1.0,0.07106690545187015,0.0,0.0,0.8040302522073697,1.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.02221673728514689,0.0
SLC2A1,0.06894502533266922,0.07106690545187015,0.0,0.25661053339441436,0.09082487681884435,0.07106690545187015,0.0,0.07106690545187015,1.0000000000000002,0.07106690545187015,0.9949366763261821,0.5642569264013865,0.07106690545187015,0.0,0.07106690545187015,0.6538155301572055,0.0,0.9949366763261821,0.9949366763261821,0.07106690545187015,0.07262823933225833,0.0
PIK3CA,0.0,1.0,0.0,0.09759000729485331,0.3651483716701107,1.0,0.0,0.0,0.07106690545187015,1.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99975317783161,0.0
GBA,0.0,0.0,0.0,0.19518001458970663,0.0,0.0,0.0,0.0,0.9949366763261821,0.0,1.0,0.502518907629606,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,1.0,0.0,0.0,0.0
ACE,0.8531511614816524,0.10050378152592121,0.3015113445777637,0.9121593238215746,0.8257228238447706,0.10050378152592121,0.3015113445777637,0.8040302522073697,0.5642569264013865,0.10050378152592121,0.502518907629606,1.0,0.8040302522073697,0.0,0.8040302522073697,0.9447355463436594,0.0,0.502518907629606,0.502518907629606,0.10050378152592121,0.11834190384723511,0.0
CACNA1C,0.9701425001453318,0.0,0.0,0.7807200583588265,0.9128709291752769,0.0,0.0,1.0,0.07106690545187015,0.0,0.0,0.8040302522073697,1.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.02221673728514689,0.0
GAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNQ1,0.9701425001453318,0.0,0.0,0.7807200583588265,0.9128709291752769,0.0,0.0,1.0,0.07106690545187015,0.0,0.0,0.8040302522073697,1.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.02221673728514689,0.0
MTHFR,0.7761140001162654,0.0,0.0,0.7416840554408852,0.7302967433402215,0.0,0.0,0.8,0.6538155301572055,0.0,0.6000000000000001,0.9447355463436594,0.8,0.0,0.8,1.0000000000000002,0.0,0.6000000000000001,0.6000000000000001,0.0,0.017773389828117513,0.0
GRIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKT1,0.0,0.0,0.0,0.19518001458970663,0.0,0.0,0.0,0.0,0.9949366763261821,0.0,1.0,0.502518907629606,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,1.0,0.0,0.0,0.0
MECP2,0.0,0.0,0.0,0.19518001458970663,0.0,0.0,0.0,0.0,0.9949366763261821,0.0,1.0,0.502518907629606,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,1.0,0.0,0.0,0.0
TSC1,0.0,1.0,0.0,0.09759000729485331,0.3651483716701107,1.0,0.0,0.0,0.07106690545187015,1.0,0.0,0.10050378152592121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99975317783161,0.0
TSC2,0.021553401054884413,0.99975317783161,0.0,0.1149109723474422,0.38533925856596607,0.99975317783161,0.0,0.02221673728514689,0.07262823933225833,0.99975317783161,0.0,0.11834190384723511,0.02221673728514689,0.0,0.02221673728514689,0.017773389828117513,0.0,0.0,0.0,0.99975317783161,1.0,0.0
SLC6A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
